category,layer,n,mean_drift,median_drift,max_drift
confidence-only,0.0,69,0.0,0.0,0.0
confidence-only,16.0,69,1.3924641396200783,1.2574796831744834,3.206777753971747
confidence-only,32.0,69,15.613523428740667,14.393395918752796,39.32240730547775
factuality-disrupting,0.0,1,0.0,0.0,0.0
factuality-disrupting,16.0,1,0.7265041127387452,0.7265041127387452,0.7265041127387452
factuality-disrupting,32.0,1,12.902725947398316,12.902725947398316,12.902725947398316
fact-only,0.0,2,0.0,0.0,0.0
fact-only,16.0,2,0.4027714361365211,0.4027714361365211,0.4258357719116458
fact-only,32.0,2,5.581623798309382,5.581623798309382,6.338124332047488
neutral,0.0,379,0.0,0.0,0.0
neutral,16.0,379,0.536648582304716,0.3723513950025741,2.337339277768607
neutral,32.0,379,5.899079765934487,4.6326958493799815,23.043543703683696
factuality-weak,0.0,5,0.0,0.0,0.0
factuality-weak,16.0,5,0.744088495472301,0.7547795247358341,0.9442950079747436
factuality-weak,32.0,5,7.584214401409083,7.2157022235900925,10.466776435014172
