category,layer,n,mean_drift,median_drift,max_drift
helpful-important,0.0,3,0.0,0.0,0.0
helpful-important,16.0,3,2.0984389789907616,2.1173993152784525,2.355148560848272
helpful-important,32.0,3,19.949807964253644,22.65023061750742,24.45195035375592
confidence-only,0.0,51,0.0,0.0,0.0
confidence-only,16.0,51,1.6696994524825253,1.5063862189343165,3.760039296908485
confidence-only,32.0,51,18.606610893011254,16.714202450119508,42.28605378326151
harmful-influential,0.0,1,0.0,0.0,0.0
harmful-influential,16.0,1,2.442059655705757,2.442059655705757,2.442059655705757
harmful-influential,32.0,1,27.41165938598277,27.41165938598277,27.41165938598277
fact-only,0.0,14,0.0,0.0,0.0
fact-only,16.0,14,0.703970545359002,0.6083973493532707,1.4147819287255727
fact-only,32.0,14,8.071989446219636,7.543141520354281,16.71646390969819
neutral,0.0,439,0.0,0.0,0.0
neutral,16.0,439,0.5776422269604904,0.4050520860604822,2.0487933833308807
neutral,32.0,439,6.013509043490782,4.871803814684697,19.21839465728324
harmful-weak,0.0,5,0.0,0.0,0.0
harmful-weak,16.0,5,0.531245188974118,0.644582220029776,0.6607898704259065
harmful-weak,32.0,5,5.4287104427098445,6.614929864523285,7.363682614768961
