source,query_id,passage_num,doc_idx,is_positive_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,category
sweep,2,5.0,2,False,negative,0.14453125,0,0.0,1.4350037594151863,10.8826383223904,False,0,False,-0.69140625,neutral
sweep,2,5.0,3,True,positive,-1.01953125,0,0.0,1.801041596618569,14.96293197210987,False,0,False,-0.69140625,neutral
sweep,2,5.0,4,True,positive,-0.38671875,0,0.0,0.9428837079511828,10.72130109112124,False,0,False,-0.69140625,neutral
sweep,3,5.0,0,False,negative,-36.5,0,0.0,3.5828617045317643,40.650953817677525,True,1,True,-4.25,confidence-only
sweep,3,5.0,1,False,negative,-1.90625,0,0.0,1.5398273994783551,15.684814346001406,False,1,True,-4.25,neutral
sweep,3,5.0,2,True,positive,0.0625,0,0.0,1.1086248796752511,7.981478059268547,False,1,True,-4.25,neutral
sweep,3,5.0,3,False,negative,-0.3125,0,0.0,1.2153766301806157,8.635613589379139,False,1,True,-4.25,neutral
sweep,3,5.0,4,True,positive,-2.8125,1,0.0,1.822769060845559,12.74724292149759,True,1,True,-4.25,helpful-important
sweep,4,5.0,0,False,negative,0.08984375,0,0.0,1.019683888356797,9.77795667711784,False,0,False,-0.99609375,neutral
sweep,4,5.0,1,True,positive,0.22265625,0,0.0,0.6167447748388346,8.074719014078363,False,0,False,-0.99609375,neutral
sweep,4,5.0,2,False,negative,-0.12109375,0,0.0,0.9945856477684656,8.734203948103449,False,0,False,-0.99609375,neutral
sweep,4,5.0,3,False,negative,0.140625,0,0.0,0.6286129528614576,6.164214903185934,False,0,False,-0.99609375,neutral
sweep,4,5.0,4,True,positive,-29.12890625,0,0.0,2.91250850868296,31.64014328519759,True,0,False,-0.99609375,confidence-only
sweep,5,5.0,0,False,negative,-1.3203125,0,0.0,0.8626912949469291,9.637021931402566,False,0,False,-1.5390625,neutral
sweep,5,5.0,1,False,negative,0.40625,0,0.0,1.1590085272107042,9.46748794393899,False,0,False,-1.5390625,neutral
sweep,5,5.0,2,False,negative,-0.1640625,0,0.0,0.3594355406291974,4.574031472904694,False,0,False,-1.5390625,neutral
sweep,5,5.0,3,True,positive,-3.3671875,0,0.0,1.815865137537852,15.686122826236506,True,0,False,-1.5390625,confidence-only
sweep,5,5.0,4,True,positive,-2.9296875,0,0.0,1.7327912892300437,16.332481714714856,True,0,False,-1.5390625,confidence-only
sweep,6,5.0,0,False,negative,-0.53125,0,0.0,0.8930489624504113,9.473192797529991,False,0,False,-6.53125,neutral
sweep,6,5.0,1,False,negative,0.34375,0,0.0,0.5980529220980714,8.460448590513455,False,0,False,-6.53125,neutral
sweep,6,5.0,2,False,negative,0.09375,0,0.0,0.5099683575889259,5.93001804774868,False,0,False,-6.53125,neutral
sweep,6,5.0,3,True,positive,-12.21875,0,0.0,2.019888567810315,20.697527104620622,True,0,False,-6.53125,confidence-only
