passage_num,n_ablations,n_queries,logprob_important_n,logprob_important_rate,fact_useful_n,fact_useful_rate,helpful_important_rate,confidence_only_rate,harmful_influential_rate,CDR,gap,baseline_accuracy,mean_layer32_drift
3,30,10,15,0.5,0,0.0,0.0,0.4666666666666667,0.03333333333333333,0.9333333333333333,0.5,0.0,18.075690370565837
5,50,10,11,0.22,1,0.02,0.02,0.2,0.0,0.9090909090909091,0.2,0.1,12.035639186333613
7,68,10,12,0.17647058823529413,5,0.07352941176470588,0.014705882352941176,0.16176470588235295,0.0,0.9166666666666666,0.10294117647058823,0.1,10.40892235101259
10,90,10,14,0.15555555555555556,10,0.1111111111111111,0.011111111111111112,0.14444444444444443,0.0,0.9285714285714286,0.044444444444444446,0.2,8.45345521382438
