passage_num,n_ablations,n_queries,logprob_important_n,logprob_important_rate,fact_useful_n,fact_useful_rate,helpful_important_rate,confidence_only_rate,harmful_influential_rate,CDR,gap,baseline_accuracy,mean_layer32_drift
3,30,10,21,0.7,5,0.16666666666666666,0.16666666666666666,0.4,0.13333333333333333,0.5714285714285714,0.5333333333333333,0.3,16.87428047058405
5,44,10,17,0.38636363636363635,5,0.11363636363636363,0.09090909090909091,0.25,0.045454545454545456,0.6470588235294118,0.2727272727272727,0.3,12.019705560357345
7,55,10,17,0.3090909090909091,4,0.07272727272727272,0.07272727272727272,0.18181818181818182,0.05454545454545454,0.5882352941176471,0.23636363636363636,0.2,10.17826958583412
10,69,10,13,0.18840579710144928,8,0.11594202898550725,0.043478260869565216,0.14492753623188406,0.0,0.7692307692307693,0.07246376811594203,0.3,8.882629452903306
