source,query_id,passage_num,doc_idx,is_positive_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob
sweep,0,3.0,0,,counter-factual,-4.75,0,0.0,1.0713361565399153,12.641185149525068,True,0,False,-22.625
sweep,0,3.0,1,,counter-factual,-29.375,0,0.0,1.3692275322614176,14.758504189201464,True,0,False,-22.625
sweep,0,3.0,2,,counter-factual,-49.875,0,0.0,1.4795923811073697,16.785343397302803,True,0,False,-22.625
sweep,1,3.0,0,,counter-factual,-0.5,0,0.0,0.9934894279746578,11.744210628179864,False,0,False,-8.25
sweep,1,3.0,1,,counter-factual,-59.75,0,0.0,1.833031291543522,28.107166025108288,True,0,False,-8.25
sweep,1,3.0,2,,counter-factual,-4.4375,0,0.0,1.2574796831744834,13.996507009117991,True,0,False,-8.25
sweep,2,3.0,0,,counter-factual,-34.5,0,0.0,2.5543366690771223,25.615087754591762,True,0,False,-9.25
sweep,2,3.0,1,,counter-factual,-41.25,0,0.0,2.467722537077667,28.451995576785816,True,0,False,-9.25
sweep,3,3.0,0,,counter-factual,0.03125,0,0.0,1.445488113283622,11.349891104860728,False,0,False,-1.3203125
sweep,3,3.0,1,,counter-factual,-0.1015625,0,0.0,1.3542344562017592,12.240000225196976,False,0,False,-1.3203125
sweep,3,3.0,2,,counter-factual,0.68359375,0,0.0,1.7085433954992058,18.19806831521152,False,0,False,-1.3203125
sweep,4,3.0,0,,counter-factual,-0.1328125,0,0.0,1.292231056735666,14.02548190851706,False,0,False,-1.21875
sweep,4,3.0,1,,counter-factual,-20.53125,0,0.0,2.5499284881368647,26.575451137922148,True,0,False,-1.21875
sweep,4,3.0,2,,counter-factual,0.6953125,0,0.0,1.6743354853092645,17.630209994620564,False,0,False,-1.21875
sweep,5,3.0,0,,counter-factual,0.28125,0,0.0,0.7788568214673776,10.314263315683533,False,0,False,-1.484375
sweep,5,3.0,1,,counter-factual,-4.328125,0,0.0,1.7633556940299957,13.360921466832982,True,0,False,-1.484375
sweep,5,3.0,2,,counter-factual,-4.703125,0,0.0,1.6764895542849623,15.312884223897175,True,0,False,-1.484375
sweep,6,3.0,0,,counter-factual,0.984375,0,0.0,1.936072252598381,19.20541051906659,False,0,False,-3.734375
sweep,6,3.0,1,,counter-factual,-0.453125,0,0.0,1.332874788324181,10.902175100355857,False,0,False,-3.734375
sweep,7,3.0,0,,counter-factual,-35.75,0,0.0,2.2039611850818708,23.356891093431383,True,0,False,-5.75
