source,query_id,passage_num,doc_idx,is_gt_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,is_positive_doc
sweep,3,5.0,0,False,counter-factual,-1.09375,0,0.0,1.8980675909349405,15.93216746609152,False,0,False,-6.4375,
sweep,3,5.0,1,True,ground-truth,1.9375,-1,0.0,0.5899075056202983,8.789324507414783,True,0,False,-6.4375,
sweep,3,5.0,2,False,counter-factual,-0.84375,0,0.0,1.0485047182661231,12.511263507874942,False,0,False,-6.4375,
sweep,3,5.0,3,False,counter-factual,-3.0,-1,0.0,0.9863915373101863,9.031628684458525,True,0,False,-6.4375,
sweep,3,5.0,4,False,counter-factual,-0.09375,-1,0.0,0.707414967851093,8.301537712504535,True,0,False,-6.4375,
sweep,4,5.0,0,False,counter-factual,-29.0625,0,0.0,1.3991181866069964,12.213880099447302,True,1,True,-10.4375,
sweep,4,5.0,1,False,counter-factual,-26.5625,0,0.0,0.8453448808710616,8.396611671016347,True,1,True,-10.4375,
sweep,4,5.0,2,True,ground-truth,-24.8125,1,0.0,0.8171988954312294,8.605567611991507,True,1,True,-10.4375,
sweep,4,5.0,3,False,counter-factual,-27.0625,0,0.0,1.3917394394490532,12.472693179771932,True,1,True,-10.4375,
sweep,5,5.0,0,False,counter-factual,-0.22265625,0,0.0,1.44116180581621,11.443675105846054,False,0,False,-0.72265625,
sweep,5,5.0,1,True,ground-truth,-0.02734375,0,0.0,1.4111092882927483,10.321465610110078,False,0,False,-0.72265625,
sweep,5,5.0,2,False,counter-factual,-0.20703125,0,0.0,0.6028945005384189,7.160436031340163,False,0,False,-0.72265625,
sweep,5,5.0,3,False,counter-factual,-0.01953125,0,0.0,1.425289326907646,10.696586285557608,False,0,False,-0.72265625,
sweep,5,5.0,4,False,counter-factual,0.015625,0,0.0,1.2817724123047527,8.912182400202218,False,0,False,-0.72265625,
sweep,6,5.0,0,False,counter-factual,-11.0625,0,0.0,1.0394791977826086,10.344906615034107,True,1,True,-11.8125,
sweep,6,5.0,1,False,counter-factual,-1.5,0,0.0,0.5265079715961107,6.015824482995642,False,1,True,-11.8125,
